label,champ_0,role_0,rank_0,spell1_0,spell2_0,rune1_0,rune2_0,mastery_0,champ_1,role_1,rank_1,spell1_1,spell2_1,rune1_1,rune2_1,mastery_1,champ_2,role_2,rank_2,spell1_2,spell2_2,rune1_2,rune2_2,mastery_2,champ_3,role_3,rank_3,spell1_3,spell2_3,rune1_3,rune2_3,mastery_3,champ_4,role_4,rank_4,spell1_4,spell2_4,rune1_4,rune2_4,mastery_4,champ_5,role_5,rank_5,spell1_5,spell2_5,rune1_5,rune2_5,mastery_5,champ_6,role_6,rank_6,spell1_6,spell2_6,rune1_6,rune2_6,mastery_6,champ_7,role_7,rank_7,spell1_7,spell2_7,rune1_7,rune2_7,mastery_7,champ_8,role_8,rank_8,spell1_8,spell2_8,rune1_8,rune2_8,mastery_8,champ_9,role_9,rank_9,spell1_9,spell2_9,rune1_9,rune2_9,mastery_9
1,82,0,4,14,4,8010,8400,68883,104,1,5,4,11,8128,8000,155688,99,2,4,4,12,8229,8100,70714,222,3,0,4,21,8008,8300,15205,89,4,2,14,4,8439,8300,155200,904,0,4,4,14,8010,8400,1625,33,1,4,4,11,8439,8000,14916,245,2,3,14,4,8128,8200,13110,22,3,3,4,21,8008,8300,36403,96,4,3,4,7,8229,8000,123092
0,157,0,3,4,14,8008,8400,66921,131,1,7,4,11,8010,8300,134992,92,2,3,14,4,8010,8200,192237,145,3,8,4,21,8008,8300,192423,99,4,0,14,4,8229,8300,23778,86,0,4,14,4,8010,8400,1435553,20,1,6,4,11,8128,8200,146209,84,2,8,4,12,8010,8400,23409,901,3,8,4,21,8021,8300,44165,267,4,6,7,4,8214,8400,6907
0,234,0,5,4,14,8010,8400,65814,20,1,4,4,11,8128,8200,1264170,90,2,8,12,4,8229,8300,155460,21,3,3,21,4,8005,8300,132437,800,4,6,7,4,8229,8100,89150,106,0,0,4,12,8008,8400,6334,233,1,8,11,4,8005,8100,220383,63,2,6,14,4,8229,8400,3631949,51,3,8,21,4,8021,8200,189499,267,4,4,7,4,8214,8400,9988
0,117,0,0,4,14,8008,8400,879,904,1,4,11,4,8010,8400,7872,68,2,0,14,4,8229,8400,880,21,3,5,3,4,8229,8000,3480457,412,4,4,6,14,8351,8400,275173,516,0,4,4,12,8437,8300,18755,203,1,4,4,11,8010,8300,130941,84,2,5,3,14,8112,8400,55440,202,3,6,4,21,8021,8200,333282,147,4,3,7,4,8214,8400,18547
0,30,0,5,3,12,8128,8200,457872,238,1,5,11,4,8369,8100,164668,45,2,2,12,4,8229,8100,1316,51,3,0,4,21,8005,8300,1430,526,4,4,4,14,8439,8300,27973,83,0,4,12,4,8437,8000,7082,131,1,4,4,11,8010,8300,97476,101,2,7,4,21,8369,8200,829906,110,3,4,21,4,8229,8300,12041,223,4,7,4,14,8437,8000,147827
0,875,0,3,4,12,8437,8000,27774,32,1,8,11,4,8010,8100,327847,84,2,0,12,4,8010,8400,13524,145,3,5,4,21,8008,8300,32092,89,4,8,4,14,8351,8400,306126,86,0,4,4,14,8230,8400,95947,131,1,5,11,4,8010,8300,95510,101,2,5,4,14,8229,8300,60632,222,3,3,4,21,8005,8200,135537,902,4,5,7,4,8214,8400,138976
1,114,0,2,14,4,8005,8300,134534,234,1,5,11,4,8010,8300,17546,245,2,8,4,14,8128,8200,67096,51,3,4,4,21,8369,8200,44028,147,4,5,14,4,8465,8200,185963,31,0,4,14,4,8229,8100,17415,887,1,3,6,11,8369,8000,12074,99,2,5,4,12,8229,8100,792472,18,3,4,21,4,8005,8100,385962,201,4,0,4,14,8439,8300,576
0,777,0,4,14,4,8008,8400,41277,9,1,0,11,4,8128,8300,49980,157,2,6,4,14,8008,8400,331982,147,3,6,4,14,8112,8200,487436,267,4,4,4,7,8214,8400,45350,86,0,4,4,12,8010,8400,108047,120,1,7,6,11,8230,8000,67017,268,2,7,12,4,8008,8400,1918,21,3,6,4,21,8369,8000,73191,412,4,4,14,4,8465,8300,55877
1,875,0,0,4,14,8010,8400,30424,48,1,4,4,11,8008,8300,548641,84,2,5,4,14,8112,8400,265022,222,3,4,21,4,8008,8100,2514385,89,4,2,12,7,8439,8200,33086,106,0,2,12,4,8008,8400,30867,11,1,3,11,6,8021,8200,4803511,133,2,4,14,4,8112,8000,391249,145,3,3,21,4,8005,8300,76199,143,4,5,14,4,8112,8200,7556
0,6,0,9,4,12,8005,8300,118628,106,1,3,11,4,8008,8300,14289,42,2,0,12,4,8214,8400,32729,202,3,5,4,21,8021,8200,2560,22,4,3,7,6,8229,8100,284714,420,0,14,12,4,8437,8000,624774,234,1,3,4,11,8010,8300,25851,246,2,14,4,14,8010,8100,6371,18,3,3,21,4,8008,8300,9602,99,4,3,14,4,8229,8300,362356
0,6,0,1,12,4,8010,8400,303514,19,1,5,4,11,8008,8200,7327,166,2,1,6,14,8437,8200,573674,22,3,4,21,4,8005,8100,8743,25,4,1,4,14,8439,8000,21306,2,0,4,4,6,8010,8300,70502,36,1,3,4,11,8021,8300,21448,103,2,6,12,4,8112,8200,49976,67,3,0,4,12,8008,8400,138091,117,4,4,12,4,8214,8100,360911
1,875,0,1,14,4,8010,8400,23529,203,1,6,4,11,8005,8100,37382,136,2,8,4,12,8229,8400,86485,18,3,5,4,21,8008,8200,106559,57,4,3,14,4,8229,8100,16278,104,0,4,14,4,8021,8100,865,63,1,2,4,11,8229,8300,1235,90,2,3,4,12,8214,8000,3409,235,3,3,4,6,8021,8200,1191822,350,4,0,14,4,8214,8400,7284
0,233,0,6,12,14,8010,8400,280647,19,1,4,4,11,8008,8200,3031,90,2,7,4,12,8229,8300,1697,51,3,0,4,21,8008,8200,420,89,4,5,14,4,8439,8000,28173,36,0,5,6,12,8437,8300,126505,24,1,2,4,11,8010,8100,23610,147,2,8,4,12,8229,8300,288341,99,3,4,4,7,8128,8200,341116,25,4,7,14,4,8128,8300,53669
1,799,0,3,12,4,8437,8300,15228,106,1,5,11,4,8008,8300,417561,3,2,2,12,4,8230,8400,51164,236,3,9,21,4,8369,8000,17206,14,4,10,12,4,8437,8000,181270,6,0,0,12,4,8010,8400,465153,28,1,3,11,4,8112,8300,2750,800,2,5,12,4,8229,8000,21402,22,3,10,21,4,8005,8300,676104,147,4,2,21,4,8465,8200,19006
1,36,0,5,12,6,8437,8300,28887,234,1,4,4,11,8010,8100,44809,18,2,4,14,12,9923,8000,1796021,222,3,4,7,4,8008,8300,1276667,161,4,7,4,14,8128,8000,1236499,17,0,5,14,4,8437,8100,728002,233,1,5,11,6,8010,8400,19165,950,2,7,4,14,8112,8000,246460,157,3,3,14,4,8008,8400,95972,51,4,0,4,12,8021,8200,264446
1,17,0,8,14,4,8005,8200,184712,62,1,0,11,4,8010,8300,2835,5,2,2,14,6,9923,8300,1500026,360,3,8,4,21,8010,8100,29691,89,4,8,14,4,8439,8000,139572,887,0,6,12,4,8005,8400,5271,80,1,5,11,4,8005,8100,21174,142,2,2,14,4,8128,8200,28552,236,3,3,4,7,8005,8300,53043,223,4,0,12,4,8437,8100,12242
0,777,0,3,14,4,8010,8400,10915,76,1,0,4,11,8112,8200,978,800,2,6,4,12,8229,8000,61131,21,3,3,21,4,8005,8200,32709,350,4,0,14,4,8214,8400,7942,24,0,1,14,4,8008,8400,108172,233,1,4,11,4,8010,8400,61037,103,2,3,4,12,8112,8300,17744,51,3,1,4,21,8369,8200,79388,63,4,6,14,4,8229,8300,41196
1,106,0,1,4,12,8008,8200,17806,11,1,4,4,11,8008,8300,14065,63,2,6,4,12,8229,8000,370531,523,3,1,7,4,8008,8200,52196,555,4,6,4,7,9923,8400,9621,17,0,4,4,14,8005,8400,2985,28,1,1,11,4,8112,8300,91007,92,2,0,12,4,8010,8300,23155,81,3,3,4,3,8008,8300,351724,526,4,5,4,14,8439,8000,50760
0,27,0,8,4,6,8010,8200,8273,54,1,6,11,4,8005,8300,42954,147,2,4,12,4,8229,8300,81438,25,3,1,4,7,8351,8200,10000,526,4,3,4,14,8439,8300,13433,875,0,4,4,14,8010,8400,14841,80,1,0,11,4,8010,8100,4110358,45,2,4,4,12,8369,8200,132210,51,3,4,4,21,8021,8200,268086,223,4,5,4,14,8437,8000,70598
0,910,0,4,12,4,8229,8000,86463,11,1,1,11,4,8008,8400,4719,10,2,5,4,14,8005,8200,22797,81,3,2,12,4,8112,8000,1353096,350,4,0,14,7,8008,8400,10754,86,0,4,14,4,8437,8200,69981,33,1,4,11,4,8439,8000,30446,800,2,4,12,4,8128,8200,96076,51,3,2,4,21,8008,8200,45865,555,4,3,4,14,8112,8000,50928
0,17,0,7,12,4,8005,8400,22117,141,1,3,11,4,8128,8300,5884,800,2,4,4,12,8229,8000,19574,22,3,5,4,21,8008,8300,97892,43,4,3,4,7,8229,8100,31180,36,0,4,4,12,8437,8300,6136,31,1,7,11,4,8437,8300,45206,134,2,4,4,12,8369,8200,19986,81,3,0,7,4,8005,8300,114063,99,4,7,4,3,8229,8100,299086
1,54,0,6,4,14,8229,8400,42898,107,1,8,4,11,8369,8100,62633,101,2,6,4,12,8229,8300,6730,22,3,3,4,21,8008,8300,27977,35,4,6,4,14,8128,8200,79487,24,0,4,4,12,8010,8400,43114,19,1,5,11,4,8008,8200,20447,131,2,7,4,14,8112,8200,4161,136,3,0,12,4,8229,8400,14442,267,4,8,7,4,8214,8400,118422
1,777,0,8,4,12,8008,8400,454681,234,1,7,4,11,8010,8300,116247,38,2,10,4,12,8112,8400,25852,51,3,4,4,21,8008,8200,10370,223,4,9,14,4,8437,8000,108776,3,0,6,4,12,8230,8400,11227,245,1,9,11,4,8128,8000,25632,105,2,6,4,14,8112,8200,149665,895,3,0,4,21,8010,8100,35955,25,4,5,4,7,8229,8100,56442
0,2,0,0,4,6,8010,8300,30698,950,1,5,11,4,8010,8200,6906,147,2,4,14,4,8214,8300,576594,45,3,7,4,12,8369,8200,163866,25,4,5,14,4,8128,8300,455291,31,0,8,4,12,8437,8000,21373,35,1,8,11,14,9923,8300,1886291,103,2,4,4,12,8112,8400,430782,360,3,4,4,21,8010,8400,41911,117,4,4,4,14,8214,8300,2712
1,887,0,0,14,4,8010,8400,13982,141,1,3,11,4,8128,8200,128970,99,2,5,4,12,8229,8100,38978,222,3,4,21,4,8008,8300,23380,63,4,6,4,14,8128,8200,34999,6,0,5,4,21,8008,8300,19999,233,1,3,11,4,8005,8400,32817,157,2,4,12,4,8437,8000,523469,202,3,4,21,4,8128,8000,124588,40,4,3,7,4,8214,8100,760
0,82,0,4,14,4,8010,8400,315305,14,1,4,11,4,8230,8400,453812,90,2,4,12,4,8229,8300,230581,96,3,3,4,14,8008,8400,53316,267,4,0,7,4,8112,8200,9902,24,0,4,12,4,8008,8400,48931,254,1,6,11,4,9923,8000,66703,50,2,5,12,4,8214,8400,20710,145,3,4,4,21,9923,8300,2503566,111,4,2,12,4,8437,8200,37403
0,23,0,3,14,12,8005,8400,961125,32,1,4,11,4,8010,8100,12031,91,2,2,4,14,8112,8200,79125,202,3,6,4,21,8021,8200,12396,223,4,7,4,14,8437,8100,244893,2,0,6,6,4,8010,8300,146164,106,1,9,4,11,8437,8000,326155,84,2,2,4,12,8112,8200,23975,51,3,0,21,4,8008,8300,380979,235,4,12,7,4,8214,8400,58965
1,10,0,3,4,12,8005,8200,59553,106,1,7,4,11,8008,8200,319698,17,2,3,14,4,8229,8100,1128283,26,3,4,4,12,8229,8300,2779059,25,4,3,4,14,8229,8100,147114,875,0,4,4,14,8010,8400,22331,11,1,0,11,4,8008,8300,40832,800,2,4,14,4,8128,8200,102311,21,3,4,21,4,8369,8000,4429,115,4,6,6,7,8369,8200,35000
0,41,0,1,4,12,8229,8000,33065,131,1,5,11,4,8010,8300,280167,238,2,2,1,14,8010,8400,288090,67,3,4,21,4,8008,8400,8466,350,4,0,7,3,8214,8400,259717,876,0,4,4,12,8021,8200,32122,98,1,0,4,11,8437,8100,21430,84,2,9,14,4,8010,8400,49212,202,3,6,4,21,8021,8200,10912,147,4,0,4,7,8214,8400,37141
0,17,0,2,4,14,8229,8000,1380283,91,1,0,11,4,8112,8200,22236,23,2,5,12,14,9923,8000,278365,22,3,5,4,7,8005,8300,567980,78,4,4,4,14,8439,8300,14708,157,0,5,4,14,8437,8000,60739,19,1,6,11,4,8005,8100,100759,240,2,0,14,4,8010,8400,45484,235,3,3,4,21,8021,8200,1399,876,4,3,4,7,8465,8000,42596
0,17,0,0,4,14,8128,8200,113762,24,1,4,4,11,8008,8300,5554,131,2,7,14,4,8112,8400,163872,15,3,6,4,21,8008,8300,26390,235,4,5,4,14,8351,8400,364692,122,0,4,4,6,8010,8200,23057,36,1,6,11,4,8021,8300,68028,103,2,4,4,12,8112,8200,138618,21,3,6,4,21,8005,8200,19168,161,4,4,4,14,8128,8200,104606
1,10,0,5,4,12,8005,8200,8298,234,1,5,11,4,8010,8300,89351,1,2,2,4,14,8112,8200,339117,21,3,5,4,14,8369,8000,29512,902,4,3,3,4,8229,8100,42717,27,0,0,6,7,8010,8400,26515,517,1,4,4,11,8010,8300,53759,777,2,4,14,4,8008,8400,15778,236,3,4,4,21,8005,8300,194554,63,4,6,4,14,8229,8100,545371
1,82,0,8,12,4,8010,8400,69097,11,1,1,11,6,8005,8100,116970,61,2,0,4,12,8229,8000,10878,115,3,8,4,12,8229,8000,73741,99,4,4,12,4,8229,8100,57660,887,0,1,4,14,8010,8400,4287,106,1,6,11,4,8008,8300,71951,7,2,2,4,14,8112,8000,17061,800,3,5,4,12,8229,8000,152131,63,4,4,14,4,8128,8000,98630
0,83,0,0,4,12,8437,8000,45673,77,1,3,11,4,9923,8200,32033,105,2,4,4,14,8112,8200,105346,202,3,4,21,4,8021,8200,500303,143,4,8,4,14,8229,8100,1610,36,0,4,6,12,8021,8300,145441,17,1,4,4,11,8128,8000,463446,63,2,2,4,14,8112,8200,31842,51,3,6,21,4,8008,8200,64648,99,4,3,4,7,8229,8100,49398
1,17,0,3,4,14,8005,8100,167003,245,1,3,4,11,9923,8200,213694,800,2,8,12,4,8229,8000,11156,51,3,5,4,21,8008,8200,39750,412,4,8,14,4,8439,8200,265040,887,0,3,6,12,8010,8400,7650,24,1,1,4,11,8008,8300,39865,103,2,7,4,12,8112,8200,28338,21,3,0,4,21,8369,8000,13495,80,4,3,4,14,8005,8100,1830
0,6,0,4,4,12,8005,8300,271772,106,1,0,11,14,8005,8200,16712,136,2,3,4,12,8369,8200,58192,523,3,6,4,21,8021,8200,20377,350,4,6,7,3,8229,8000,415328,875,0,1,4,12,8437,8000,23511,8,1,5,11,4,8230,8000,246547,800,2,5,12,4,8229,8000,65088,119,3,5,4,21,8005,8200,80655,161,4,8,4,7,8229,8300,32147
0,82,0,7,4,12,8010,8200,31808,107,1,0,4,11,8010,8100,111665,517,2,8,4,12,8112,8000,265166,21,3,3,4,21,8008,8300,166941,267,4,9,4,7,8214,8400,8033,85,0,8,12,4,8112,8200,156958,141,1,4,11,4,8010,8300,20822,90,2,8,4,12,8214,8000,332231,51,3,4,4,21,8008,8200,31391,99,4,4,6,7,8128,8200,83035
1,86,0,4,14,4,8010,8200,74313,887,1,3,6,11,8010,8300,59796,25,2,4,4,14,8229,8000,4354,18,3,3,21,4,8005,8100,2146601,63,4,6,4,3,8229,8100,5673,350,0,2,3,7,8008,8200,83650,11,1,0,11,4,8008,8300,4414,112,2,5,12,4,8214,8400,3601,145,3,5,4,21,8008,8200,296132,497,4,0,4,3,8465,8200,383
1,875,0,5,4,14,8010,8400,10828,32,1,4,4,11,8010,8100,55536,3,2,3,12,4,8439,8200,15880,67,3,4,4,21,8008,8400,89689,117,4,3,21,4,8465,8300,107874,110,0,0,4,21,8005,8400,18120,36,1,4,4,11,8021,8300,39628,61,2,5,4,14,8230,8300,25821,202,3,4,4,12,8008,8200,383788,267,4,6,4,7,8214,8400,129113
0,86,0,8,14,4,8010,8200,26448,233,1,4,11,4,8005,8100,233106,1,2,5,4,14,8112,8200,6564,67,3,9,21,4,8008,8200,48930,412,4,0,7,4,8439,8300,21935,10,0,6,6,4,8005,8200,30306,234,1,5,11,4,8010,8300,51536,3,2,3,4,14,8230,8400,10101,18,3,6,7,4,8008,8300,161346,89,4,8,1,3,8437,8100,19432
1,516,0,5,12,4,8437,8300,21972,77,1,4,11,4,8010,8300,106559,800,2,3,12,4,8128,8200,229437,29,3,3,4,21,8008,8200,18982,201,4,4,14,4,8465,8300,28200,777,0,2,14,4,8008,8400,140152,62,1,3,11,4,8010,8300,9220,910,2,5,4,12,8229,8000,223300,202,3,6,21,4,8128,8000,598556,39,4,0,12,4,8010,8300,73924
1,6,0,0,4,12,8010,8400,6605,238,1,4,11,4,8112,8200,68700,101,2,4,12,4,8229,8000,15093,222,3,7,21,4,8008,8300,104185,63,4,7,12,6,8005,8300,467750,36,0,3,6,12,8437,8300,30649,11,1,3,4,11,9923,8000,45064,45,2,4,4,12,8369,8200,37799,145,3,4,4,21,8008,8300,8199,34,4,4,14,4,8229,8000,1199
0,98,0,6,12,4,8437,8100,815154,5,1,4,4,11,8010,8300,576,86,2,5,14,4,8010,8200,178572,21,3,5,4,21,8369,8200,63362,350,4,0,3,7,8214,8000,8551,223,0,9,4,14,8437,8000,24288,234,1,8,4,11,8010,8300,159197,804,2,4,4,21,8008,8300,17858,18,3,3,4,3,8008,8100,124778,412,4,9,14,4,8465,8300,94325
1,122,0,0,4,6,8010,8200,6795,113,1,9,4,11,8439,8000,11507,99,2,3,21,4,8229,8100,333224,147,3,5,4,12,8229,8000,166673,25,4,4,4,14,8229,8100,895894,39,0,3,4,12,8010,8400,157099,102,1,3,4,11,8112,8200,62590,101,2,5,12,4,8229,8000,96438,29,3,4,21,4,8008,8200,14508,3,4,4,4,14,8112,8200,7630
1,145,0,0,4,6,8008,8300,6547,24,1,9,6,11,8008,8300,4435,136,2,8,4,12,8229,8400,30075,119,3,13,4,21,8008,8300,86779,147,4,9,4,7,8214,8400,415935,154,0,9,4,12,8437,8000,299785,233,1,8,11,4,8005,8100,19564,55,2,7,4,14,8010,8400,403326,51,3,8,21,4,8369,8200,5194,101,4,12,7,4,8229,8000,22616
0,27,0,0,6,14,8008,8400,26515,24,1,6,11,4,8005,8100,30749,777,2,4,4,14,8008,8400,224242,110,3,4,21,4,9923,8000,1249717,37,4,3,7,4,8214,8400,35859,222,0,4,4,21,8008,8200,8198,56,1,8,4,11,8008,8100,41229,134,2,5,12,4,8369,8200,154268,29,3,2,21,4,8005,8200,8767,16,4,4,4,7,8214,8400,252466
0,8,0,0,4,6,8214,8000,13233,35,1,8,6,11,8128,8200,1126449,127,2,4,4,12,8112,8200,8125,222,3,4,4,21,8008,8200,543206,53,4,4,14,4,8351,8400,65051,23,0,5,6,4,8008,8400,396942,48,1,7,4,11,8008,8300,137267,777,2,7,4,12,8008,8400,189460,804,3,4,4,21,8008,8300,118828,63,4,6,4,14,8128,8200,16175
1,8,0,5,14,4,8230,8300,1354400,56,1,2,11,4,8008,8100,36914,38,2,1,12,4,8229,8300,40361,29,3,5,6,4,8008,8200,190370,902,4,6,4,7,8229,8000,25519,90,0,0,14,4,8229,8000,86555,24,1,0,11,4,8005,8100,53867,69,2,4,12,4,8010,8400,167588,81,3,4,4,21,8008,8300,132411,17,4,4,14,4,8437,8100,4493
0,234,0,4,4,14,8010,8400,21881,233,1,3,11,4,8005,8300,67807,950,2,0,12,4,9923,8200,38310,81,3,3,6,4,8128,8300,437456,80,4,5,14,4,8005,8300,106296,17,0,5,4,14,8005,8400,191412,876,1,5,4,11,8010,8300,32074,84,2,4,14,4,8112,8400,298692,202,3,8,4,21,8128,8000,64182,86,4,1,4,14,8465,8100,235638
0,875,0,5,4,12,8010,8400,32680,36,1,8,11,4,8021,8300,107548,25,2,5,4,14,8229,8100,387089,21,3,6,4,7,8005,8200,1364110,350,4,0,3,7,8229,8000,49466,82,0,5,12,4,8010,8400,88144,19,1,5,11,6,8008,8200,126861,91,2,4,12,4,8128,8000,533722,22,3,9,4,12,8008,8300,77084,63,4,8,4,14,8128,8200,193871
0,92,0,6,4,14,8010,8300,4506,131,1,5,4,11,8010,8300,17500,518,2,0,4,12,8229,8300,37890,523,3,12,21,4,8005,8200,174873,99,4,0,7,4,8229,8300,423753,36,0,6,6,12,8437,8300,56022,234,1,6,4,11,8010,8300,31885,105,2,5,4,7,8112,8000,147478,804,3,0,21,4,8008,8300,20424,48,4,3,7,4,8008,8300,34448
0,2,0,2,12,4,8005,8300,37985,32,1,4,11,4,8010,8100,81240,45,2,0,4,12,8229,8100,210619,360,3,2,4,21,8010,8100,31948,800,4,0,4,7,8229,8100,2794,234,0,5,14,4,8010,8400,113509,19,1,0,4,11,8005,8100,48192,1,2,3,4,14,8112,8300,61939,523,3,4,21,4,8005,8300,49048,111,4,4,14,4,8351,8400,56037
1,75,0,7,12,6,8021,8400,136424,233,1,5,11,4,9923,8300,630181,40,2,4,6,3,9923,8400,522025,17,3,3,4,14,8005,8400,7873,21,4,0,3,14,8230,8300,164797,115,0,3,4,12,8214,8300,10864,23,1,4,4,11,9923,8000,167602,45,2,4,4,12,8112,8200,241790,18,3,1,4,14,8128,8000,37055,25,4,5,4,7,8229,8000,143857
1,114,0,5,14,4,8437,8200,50016,25,1,6,4,11,8128,8300,1387,238,2,0,4,14,8112,8000,148368,145,3,4,4,21,8008,8300,36656,147,4,4,4,14,8229,8100,227983,82,0,1,12,4,8010,8400,48893,11,1,0,11,4,8008,8300,13340,711,2,5,4,14,8128,8200,6986,901,3,5,21,4,8021,8300,17275,350,4,4,7,4,8214,8000,14836
1,82,0,4,4,3,8010,8200,181253,91,1,10,11,4,8112,8300,144123,50,2,5,4,12,8214,8400,11172,222,3,3,4,12,8008,8200,34566,53,4,3,14,4,8439,8300,12738,92,0,6,4,14,8010,8200,94885,121,1,5,4,11,8128,8200,85520,141,2,0,14,4,8128,8000,48078,21,3,5,4,14,8369,8200,141746,37,4,9,14,4,8128,8200,116074
0,233,0,0,14,4,8005,8100,13945,19,1,4,11,14,8005,8100,1517559,99,2,2,14,4,8229,8100,658648,518,3,4,12,4,8229,8100,54757,25,4,3,4,3,8128,8300,145060,150,0,0,4,12,8005,8400,539575,234,1,6,4,11,8010,8300,79867,103,2,5,4,12,8128,8200,6510,221,3,2,21,4,8021,8400,29904,202,4,1,4,7,8010,8400,954
0,86,0,6,14,4,8230,8400,39639,33,1,7,4,11,8439,8200,30371,711,2,3,4,7,8437,8000,30770,29,3,2,4,21,8008,8200,436,800,4,0,21,4,8128,8200,16817,82,0,3,4,14,8010,8200,8859,131,1,5,11,4,8010,8300,32844,112,2,4,4,12,8369,8200,21780,804,3,11,4,21,8008,8300,87241,16,4,6,7,4,8229,8400,24634
0,86,0,4,12,4,8010,8400,154026,32,1,3,11,4,8010,8100,2870,157,2,6,4,14,8437,8000,10340,21,3,3,4,3,8005,8100,113702,17,4,3,7,4,8128,8200,1791,31,0,3,4,12,8437,8100,52145,203,1,14,11,4,8005,8100,659945,80,2,5,14,6,8005,8100,185325,15,3,8,4,21,8008,8200,20079,350,4,0,3,14,9923,8000,138135
